Metric,Value
clock__skew__worst_hold__corner:nom_ff_n40C_1v95, 0.020896
clock__skew__worst_setup__corner:nom_ff_n40C_1v95, 0.020896
timing__hold__ws__corner:nom_ff_n40C_1v95, 0.078827
timing__setup__ws__corner:nom_ff_n40C_1v95, 5.831983
timing__hold__tns__corner:nom_ff_n40C_1v95, 0.0
timing__setup__tns__corner:nom_ff_n40C_1v95, 0.0
timing__hold__wns__corner:nom_ff_n40C_1v95, 0.0
timing__setup__wns__corner:nom_ff_n40C_1v95, 0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95, 0
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95, 0
timing__setup_vio__count__corner:nom_ff_n40C_1v95, 0
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95, 0
clock__max_slew_violation__count__corner:min_tt_025C_1v80, 0
design__max_fanout_violation__count__corner:min_tt_025C_1v80, 103
design__max_cap_violation__count__corner:min_tt_025C_1v80, 0
clock__skew__worst_hold__corner:min_tt_025C_1v80, 0.030481
clock__skew__worst_setup__corner:min_tt_025C_1v80, 0.030481
timing__hold__ws__corner:min_tt_025C_1v80, 0.280836
timing__setup__ws__corner:min_tt_025C_1v80, 5.057632
timing__hold__tns__corner:min_tt_025C_1v80, 0.0
timing__setup__tns__corner:min_tt_025C_1v80, 0.0
timing__hold__wns__corner:min_tt_025C_1v80, 0.0
timing__setup__wns__corner:min_tt_025C_1v80, 0.0
timing__hold_vio__count__corner:min_tt_025C_1v80, 0
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80, 0
timing__setup_vio__count__corner:min_tt_025C_1v80, 0
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80, 0
clock__max_slew_violation__count__corner:min_ss_100C_1v60, 2
design__max_fanout_violation__count__corner:min_ss_100C_1v60, 103
design__max_cap_violation__count__corner:min_ss_100C_1v60, 0
clock__skew__worst_hold__corner:min_ss_100C_1v60, 0.053709
clock__skew__worst_setup__corner:min_ss_100C_1v60, 0.053709
timing__hold__ws__corner:min_ss_100C_1v60, -0.306956
timing__setup__ws__corner:min_ss_100C_1v60, 2.940978
timing__hold__tns__corner:min_ss_100C_1v60, -10.511533
timing__setup__tns__corner:min_ss_100C_1v60, 0.0
timing__hold__wns__corner:min_ss_100C_1v60, -0.306956
timing__setup__wns__corner:min_ss_100C_1v60, 0.0
timing__hold_vio__count__corner:min_ss_100C_1v60, 78
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60, 0
timing__setup_vio__count__corner:min_ss_100C_1v60, 0
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60, 0
clock__max_slew_violation__count__corner:min_ff_n40C_1v95, 0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95, 103
design__max_cap_violation__count__corner:min_ff_n40C_1v95, 0
clock__skew__worst_hold__corner:min_ff_n40C_1v95, 0.019094
clock__skew__worst_setup__corner:min_ff_n40C_1v95, 0.019094
timing__hold__ws__corner:min_ff_n40C_1v95, 0.078827
timing__setup__ws__corner:min_ff_n40C_1v95, 5.918272
timing__hold__tns__corner:min_ff_n40C_1v95, 0.0
timing__setup__tns__corner:min_ff_n40C_1v95, 0.0
timing__hold__wns__corner:min_ff_n40C_1v95, 0.0
timing__setup__wns__corner:min_ff_n40C_1v95, 0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95, 0
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95, 0
timing__setup_vio__count__corner:min_ff_n40C_1v95, 0
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95, 0
clock__max_slew_violation__count__corner:max_tt_025C_1v80, 0
design__max_fanout_violation__count__corner:max_tt_025C_1v80, 103
design__max_cap_violation__count__corner:max_tt_025C_1v80, 0
clock__skew__worst_hold__corner:max_tt_025C_1v80, 0.038882
clock__skew__worst_setup__corner:max_tt_025C_1v80, 0.038882
timing__hold__ws__corner:max_tt_025C_1v80, 0.280836
timing__setup__ws__corner:max_tt_025C_1v80, 4.860821
timing__hold__tns__corner:max_tt_025C_1v80, 0.0
timing__setup__tns__corner:max_tt_025C_1v80, 0.0
timing__hold__wns__corner:max_tt_025C_1v80, 0.0
timing__setup__wns__corner:max_tt_025C_1v80, 0.0
timing__hold_vio__count__corner:max_tt_025C_1v80, 0
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80, 0
timing__setup_vio__count__corner:max_tt_025C_1v80, 0
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80, 0
clock__max_slew_violation__count__corner:max_ss_100C_1v60, 2
design__max_fanout_violation__count__corner:max_ss_100C_1v60, 103
design__max_cap_violation__count__corner:max_ss_100C_1v60, 0
clock__skew__worst_hold__corner:max_ss_100C_1v60, 0.066397
clock__skew__worst_setup__corner:max_ss_100C_1v60, 0.066397
timing__hold__ws__corner:max_ss_100C_1v60, -0.525601
timing__setup__ws__corner:max_ss_100C_1v60, 2.645797
timing__hold__tns__corner:max_ss_100C_1v60, -32.302113
timing__setup__tns__corner:max_ss_100C_1v60, 0.0
timing__hold__wns__corner:max_ss_100C_1v60, -0.525601
timing__setup__wns__corner:max_ss_100C_1v60, 0.0
timing__hold_vio__count__corner:max_ss_100C_1v60, 142
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60, 0
timing__setup_vio__count__corner:max_ss_100C_1v60, 0
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60, 0
clock__max_slew_violation__count__corner:max_ff_n40C_1v95, 0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95, 103
design__max_cap_violation__count__corner:max_ff_n40C_1v95, 0
clock__skew__worst_hold__corner:max_ff_n40C_1v95, 0.024655
clock__skew__worst_setup__corner:max_ff_n40C_1v95, 0.024655
timing__hold__ws__corner:max_ff_n40C_1v95, 0.078827
timing__setup__ws__corner:max_ff_n40C_1v95, 5.739466
timing__hold__tns__corner:max_ff_n40C_1v95, 0.0
timing__setup__tns__corner:max_ff_n40C_1v95, 0.0
timing__hold__wns__corner:max_ff_n40C_1v95, 0.0
timing__setup__wns__corner:max_ff_n40C_1v95, 0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95, 0
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95, 0
timing__setup_vio__count__corner:max_ff_n40C_1v95, 0
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95, 0
ir__voltage__worst, 1.8000000000000000444089209850062616169452667236328125
ir__drop__avg, 4.68000000000000038246771540324277227629323760993429459631443023681640625E-9
ir__drop__worst, 8.97000000000000025054109720028250318790696837822906672954559326171875E-9
design__xor_difference__count, 0
magic__drc_error__count, 0
magic__illegal_overlap__count, 0
