Metric,Value
design__max_fanout_violation__count__corner:min_tt_025C_1v80, 0
design__max_cap_violation__count__corner:min_tt_025C_1v80, 0
clock__skew__worst_hold__corner:min_tt_025C_1v80, 0.001131
clock__skew__worst_setup__corner:min_tt_025C_1v80, 0.001131
timing__hold__ws__corner:min_tt_025C_1v80, 0.351136
timing__setup__ws__corner:min_tt_025C_1v80, 5.670675
timing__hold__tns__corner:min_tt_025C_1v80, 0.0
timing__setup__tns__corner:min_tt_025C_1v80, 0.0
timing__hold__wns__corner:min_tt_025C_1v80, 0.0
timing__setup__wns__corner:min_tt_025C_1v80, 0.0
timing__hold_vio__count__corner:min_tt_025C_1v80, 0
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80, 0
timing__setup_vio__count__corner:min_tt_025C_1v80, 0
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80, 0
clock__max_slew_violation__count__corner:min_ss_100C_1v60, 0
design__max_fanout_violation__count__corner:min_ss_100C_1v60, 0
design__max_cap_violation__count__corner:min_ss_100C_1v60, 0
clock__skew__worst_hold__corner:min_ss_100C_1v60, 0.001798
clock__skew__worst_setup__corner:min_ss_100C_1v60, 0.001798
timing__hold__ws__corner:min_ss_100C_1v60, 0.956125
timing__setup__ws__corner:min_ss_100C_1v60, 3.664824
timing__hold__tns__corner:min_ss_100C_1v60, 0.0
timing__setup__tns__corner:min_ss_100C_1v60, 0.0
timing__hold__wns__corner:min_ss_100C_1v60, 0.0
timing__setup__wns__corner:min_ss_100C_1v60, 0.0
timing__hold_vio__count__corner:min_ss_100C_1v60, 0
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60, 0
timing__setup_vio__count__corner:min_ss_100C_1v60, 0
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60, 0
clock__max_slew_violation__count__corner:min_ff_n40C_1v95, 0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95, 0
design__max_cap_violation__count__corner:min_ff_n40C_1v95, 0
clock__skew__worst_hold__corner:min_ff_n40C_1v95, 0.000804
clock__skew__worst_setup__corner:min_ff_n40C_1v95, 0.000804
timing__hold__ws__corner:min_ff_n40C_1v95, 0.125654
timing__setup__ws__corner:min_ff_n40C_1v95, 6.486065
timing__hold__tns__corner:min_ff_n40C_1v95, 0.0
timing__setup__tns__corner:min_ff_n40C_1v95, 0.0
timing__hold__wns__corner:min_ff_n40C_1v95, 0.0
timing__setup__wns__corner:min_ff_n40C_1v95, 0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95, 0
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95, 0
timing__setup_vio__count__corner:min_ff_n40C_1v95, 0
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95, 0
clock__max_slew_violation__count__corner:max_tt_025C_1v80, 0
design__max_fanout_violation__count__corner:max_tt_025C_1v80, 0
design__max_cap_violation__count__corner:max_tt_025C_1v80, 0
clock__skew__worst_hold__corner:max_tt_025C_1v80, 0.001334
clock__skew__worst_setup__corner:max_tt_025C_1v80, 0.001334
timing__hold__ws__corner:max_tt_025C_1v80, 0.366354
timing__setup__ws__corner:max_tt_025C_1v80, 5.574029
timing__hold__tns__corner:max_tt_025C_1v80, 0.0
timing__setup__tns__corner:max_tt_025C_1v80, 0.0
timing__hold__wns__corner:max_tt_025C_1v80, 0.0
timing__setup__wns__corner:max_tt_025C_1v80, 0.0
timing__hold_vio__count__corner:max_tt_025C_1v80, 0
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80, 0
timing__setup_vio__count__corner:max_tt_025C_1v80, 0
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80, 0
clock__max_slew_violation__count__corner:max_ss_100C_1v60, 0
design__max_fanout_violation__count__corner:max_ss_100C_1v60, 0
design__max_cap_violation__count__corner:max_ss_100C_1v60, 0
clock__skew__worst_hold__corner:max_ss_100C_1v60, 0.002122
clock__skew__worst_setup__corner:max_ss_100C_1v60, 0.002122
timing__hold__ws__corner:max_ss_100C_1v60, 0.984028
timing__setup__ws__corner:max_ss_100C_1v60, 3.493773
timing__hold__tns__corner:max_ss_100C_1v60, 0.0
timing__setup__tns__corner:max_ss_100C_1v60, 0.0
timing__hold__wns__corner:max_ss_100C_1v60, 0.0
timing__setup__wns__corner:max_ss_100C_1v60, 0.0
timing__hold_vio__count__corner:max_ss_100C_1v60, 0
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60, 0
timing__setup_vio__count__corner:max_ss_100C_1v60, 0
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60, 0
clock__max_slew_violation__count__corner:max_ff_n40C_1v95, 0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95, 0
design__max_cap_violation__count__corner:max_ff_n40C_1v95, 0
clock__skew__worst_hold__corner:max_ff_n40C_1v95, 0.000948
clock__skew__worst_setup__corner:max_ff_n40C_1v95, 0.000948
timing__hold__ws__corner:max_ff_n40C_1v95, 0.135704
timing__setup__ws__corner:max_ff_n40C_1v95, 6.423503
timing__hold__tns__corner:max_ff_n40C_1v95, 0.0
timing__setup__tns__corner:max_ff_n40C_1v95, 0.0
timing__hold__wns__corner:max_ff_n40C_1v95, 0.0
timing__setup__wns__corner:max_ff_n40C_1v95, 0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95, 0
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95, 0
timing__setup_vio__count__corner:max_ff_n40C_1v95, 0
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95, 0
ir__voltage__worst, 1.8000000000000000444089209850062616169452667236328125
ir__drop__avg, 3.0299999999999998764525408783050176853013368827305384911596775054931640625E-10
ir__drop__worst, 4.8899999999999996572881529057993423015293643629775033332407474517822265625E-10
design__xor_difference__count, 0
magic__drc_error__count, 0
magic__illegal_overlap__count, 0
design__lvs_device_difference__count, 0
design__lvs_net_differences__count, 0
design__lvs_property_fails__count, 0
design__lvs_errors__count, 0
design__lvs_unmatched_devices__count, 0
design__lvs_unmatched_nets__count, 0
design__lvs_unmatched_pins__count, 0
